ID,Abundance,Type2
ecl,0.277777777778,acyl-CoA synth
rpb,0.5,acyl-CoA synth
vex,0.666666666667,acyl-CoA synth
syn,0.538461538462,acyl-CoA synth
ipa,0.333333333333,acyl-CoA synth
sit,0.5,acyl-CoA synth
lrf,0.416666666667,acyl-CoA synth
bpr,0.416666666667,acyl-CoA synth
afl,0.166666666667,acyl-CoA synth
sfv,0.333333333333,acyl-CoA synth
mra,0.5,acyl-CoA synth
tcu,0.416666666667,acyl-CoA synth
pae,0.5,acyl-CoA synth
bfa,0.5,acyl-CoA synth
ttu,0.5,acyl-CoA synth
rty,0.416666666667,acyl-CoA synth
etr,0.666666666667,acyl-CoA synth
bpe,0.666666666667,acyl-CoA synth
ecp,0.5,acyl-CoA synth
xne,0.5,acyl-CoA synth
rca,0.277777777778,acyl-CoA synth
deg,0.25,acyl-CoA synth
mmr,0.5,acyl-CoA synth
tmr,0.5,acyl-CoA synth
brm,0.5,acyl-CoA synth
lgs,0.333333333333,acyl-CoA synth
cgt,0.0555555555556,acyl-CoA synth
din,0.5,acyl-CoA synth
rso,0.277777777778,acyl-CoA synth
mes,0.615384615385,acyl-CoA synth
rpx,0.5,acyl-CoA synth
mes,0.5,acyl-CoA synth
sad,0.538461538462,acyl-CoA synth
bfr,0.5,acyl-CoA synth
fth,0.538461538462,acyl-CoA synth
wch,0.666666666667,acyl-CoA synth
wch,0.538461538462,acyl-CoA synth
rle,0.222222222222,acyl-CoA synth
cef,0.166666666667,acyl-CoA synth
cef,0.333333333333,acyl-CoA synth
eoi,0.5,acyl-CoA synth
ecf,0.222222222222,acyl-CoA synth
dat,0.25,acyl-CoA synth
bcy,0.538461538462,acyl-CoA synth
ftu,0.416666666667,acyl-CoA synth
sjj,0.538461538462,acyl-CoA synth
sjj,0.333333333333,acyl-CoA synth
sfx,0.222222222222,acyl-CoA synth
blb,0.0769230769231,acyl-CoA synth
cbt,0.538461538462,acyl-CoA synth
ban,0.5,acyl-CoA synth
mra,0.333333333333,acyl-CoA synth
pap,0.5,acyl-CoA synth
mmi,0.384615384615,acyl-CoA synth
eat,0.166666666667,acyl-CoA synth
eat,0.5,acyl-CoA synth
bmd,0.666666666667,acyl-CoA synth
ttu,0.666666666667,acyl-CoA synth
kvu,0.615384615385,acyl-CoA synth
soz,0.538461538462,acyl-CoA synth
hpp,0.333333333333,acyl-CoA synth
mil,0.538461538462,acyl-CoA synth
rca,0.666666666667,acyl-CoA synth
bph,0.615384615385,acyl-CoA synth
mct,0.166666666667,acyl-CoA synth
hya,0.416666666667,acyl-CoA synth
ttj,0.666666666667,acyl-CoA synth
zpr,0.583333333333,acyl-CoA synth
geb,0.333333333333,acyl-CoA synth
geb,0.615384615385,acyl-CoA synth
tin,0.666666666667,acyl-CoA synth
cyb,0.416666666667,acyl-CoA synth
lgs,0.538461538462,acyl-CoA synth
bvu,0.5,acyl-CoA synth
bay,0.538461538462,acyl-CoA synth
son,0.384615384615,acyl-CoA synth
xcb,0.416666666667,acyl-CoA synth
lby,0.5,acyl-CoA synth
eta,0.5,acyl-CoA synth
pol,0.277777777778,acyl-CoA synth
ecl,0.5,acyl-CoA synth
rpb,0.222222222222,acyl-CoA synth
bce,0.5,acyl-CoA synth
rce,0.5,acyl-CoA synth
rce,0.277777777778,acyl-CoA synth
rpb,0.666666666667,acyl-CoA synth
