ID,Phyla
avi,Proteobacteria
csa,Spirochaetes
csa,Proteobacteria
mdi,Spirochaetes
mdi,Proteobacteria
btu,Spirochaetes
btu,Proteobacteria
lso,Spirochaetes
lso,Proteobacteria
erg,Spirochaetes
erg,Proteobacteria
eba,Spirochaetes
eba,Proteobacteria
cjn,Spirochaetes
cjn,Proteobacteria
lbl,Spirochaetes
lbl,Proteobacteria
ebi,Spirochaetes
ebi,Proteobacteria
sat,Spirochaetes
sat,Proteobacteria
bte,Spirochaetes
bte,Proteobacteria
cje,Spirochaetes
cje,Proteobacteria
mci,Spirochaetes
mci,Proteobacteria
sec,Spirochaetes
sec,Proteobacteria
ebr,Spirochaetes
ebr,Proteobacteria
hpp,Spirochaetes
hpp,Proteobacteria
cjr,Spirochaetes
cjr,Proteobacteria
sek,Spirochaetes
sek,Proteobacteria
ypa,Spirochaetes
ypa,Proteobacteria
bph,Spirochaetes
bph,Proteobacteria
seh,Spirochaetes
seh,Proteobacteria
sei,Spirochaetes
sei,Proteobacteria
wol,Spirochaetes
wol,Proteobacteria
xcv,Spirochaetes
xcv,Proteobacteria
nmu,Spirochaetes
nmu,Proteobacteria
hch,Spirochaetes
hch,Proteobacteria
hde,Spirochaetes
hde,Proteobacteria
sew,Spirochaetes
sew,Proteobacteria
ftl,Spirochaetes
ftl,Proteobacteria
hso,Spirochaetes
hso,Proteobacteria
spc,Spirochaetes
spc,Proteobacteria
ecf,Spirochaetes
ecf,Proteobacteria
etw,Spirochaetes
etw,Proteobacteria
ecc,Spirochaetes
ecc,Proteobacteria
eca,Spirochaetes
eca,Proteobacteria
enc,Spirochaetes
enc,Proteobacteria
sit,Spirochaetes
sit,Proteobacteria
ecn,Spirochaetes
ecn,Proteobacteria
nmi,Spirochaetes
nmi,Proteobacteria
bga,Spirochaetes
bga,Proteobacteria
xfn,Spirochaetes
xfn,Proteobacteria
ecj,Spirochaetes
ecj,Proteobacteria
bug,Spirochaetes
bug,Proteobacteria
xcc,Spirochaetes
xcc,Proteobacteria
ecw,Spirochaetes
ecw,Proteobacteria
cco,Spirochaetes
cco,Proteobacteria
ypz,Spirochaetes
ypz,Proteobacteria
ecs,Spirochaetes
ecs,Proteobacteria
lpp,Spirochaetes
lpp,Proteobacteria
rlt,Spirochaetes
rlt,Proteobacteria
rpe,Spirochaetes
rpe,Proteobacteria
pct,Spirochaetes
pct,Proteobacteria
sun,Spirochaetes
sun,Proteobacteria
rpi,Spirochaetes
rpi,Proteobacteria
lpc,Spirochaetes
lpc,Proteobacteria
sdl,Spirochaetes
sdl,Proteobacteria
dvu,Spirochaetes
dvu,Proteobacteria
swi,Spirochaetes
swi,Proteobacteria
stt,Spirochaetes
stt,Proteobacteria
tin,Spirochaetes
tin,Proteobacteria
ppf,Spirochaetes
ppf,Proteobacteria
sno,Spirochaetes
sno,Proteobacteria
xau,Spirochaetes
xau,Proteobacteria
ypb,Spirochaetes
ypb,Proteobacteria
eli,Spirochaetes
eli,Proteobacteria
dbr,Spirochaetes
dbr,Proteobacteria
